"id","title","abstract","movie_url","start_time","end_time","talk_difficulty_id","talk_category_id","created_at","updated_at","conference_id","conference_day_id","track_id","video_published","document_url","show_on_timetable","talk_time_id","expected_participants","execution_phases","sponsor_id","id","talk_id","conference_id","status","created_at","updated_at"
"1181","Kubernetesネットワーキング初級者脱出ガイド -基本から最新動向まで-","Kubernetesの仕組みを理解する上でネットワークの部分は忘れることができない要素です。しかし、現実には抽象的な説明は存在しますが、オンプレ・パブリッククラウドなどで活用されるKubernetesでネットワークがどのような仕組みで実現されているかを包括的・詳細に説明された日本語の資料は今までありませんでした。
今回はCNCFアンバサダーである太田から、Kubernetes初級者を脱出するために必要なネットワークの知識や、パブリッククラウドやアップストリームのKubernetesで利用可能なさまざまな仕組みについて基本から解説します。",NULL,"06:20:00","07:00:00","31","42","2021-08-02 07:20:19","2021-10-16 17:01:17","4","11","25","1",,"1",NULL,NULL,NULL,NULL,"52","1181","4","1","2021-08-02 07:20:20.045857","2021-09-17 06:51:30.148319"
"1183","「DevSecOpsとは？」の一歩先、複数の導入経験から語るセキュリティエンジニアの本音","DevSecOpsという言葉は、その実例の少なさと反して、聞く機会は多いではないでしょうか。「DevSecOpsとは？」を概念上は知っていても、具体的に何から取り組めばいいのか、どんな構成があるのか、分かっている方は多くはないと思います。複数のクライアントへの導入経験を元にしたDevSecOpsに関する本音から、アプローチ、導入後に必ずつまずくところ等、ご紹介できたらと思います。",NULL,"09:40:00","10:00:00","32","46","2021-08-03 05:45:37","2021-10-04 05:20:41","4","11","21","1",,"1",NULL,NULL,NULL,NULL,"54","1183","4","1","2021-08-03 05:45:37.647520","2021-09-17 06:51:30.181068"
"1184","自作して学ぶKubernetes scheduler入門","Kubernetesのコンポーネントの内、PodをどのNodeで起動するかという事を決定するschedulerというものが存在します。このトークでは実際に動作する小規模なschedulerを実装していく様子から、schedulerはどのようにPodをスケジューリングしているのか、どのように拡張性を提供しているのか等を学びます。対象者は、(簡単にでも)Kubernetesの使用をした経験のある方としますが、schedulerに関する知識は不問です。",NULL,"08:20:00","09:00:00","31","53","2021-08-03 06:34:02","2021-10-18 16:14:12","4","12","22","1",,"1",NULL,NULL,NULL,NULL,"55","1184","4","1","2021-08-03 06:34:02.839464","2021-09-17 06:51:30.206384"
"1186","20,000+行のmanifestをリファクタリングして分かったKustomizeの美しきアーキテクチャと拡張性","みなさんはKubernetesのmanifest管理のために、どんなツールをお使いでしょうか。

manifestファイルをいかに効率的かつ美しく管理するか…、我々yamlエンジニアたちはいつも頭を悩ませています。
そんな中弊チームは、Kustomizeフル活用することによって、 20,000+行のmanifestファイルを可読性、保守性を高めつつ約60%削減することに成功いたしました。

Kustomizeは一見すると少し独特な使い勝手のmanifes管理ツールですが、一貫した設計思想、豊富な差分生成機能、自由に拡張可能なプラグイン機構を備えた、とても優秀なツールです。
このセッションでは、そんなKustomizeの魅力を、大量のmanifestをリファクタリングする中で得た知見とともにご紹介いたします。

■こんなことを話します
- Kustomizeのアーキテクチャと思想
- ""overlay""ディレクトリはもう卒業！ディレクトリ構成の考え方
- プラグインで無限の柔軟性を手に入れろ
- クラスタを止めずにmanifestをリファクタリングするには",NULL,"06:20:00","07:00:00","31","37","2021-08-06 10:02:08","2021-09-29 01:04:57","4","11","20","1",,"1",NULL,NULL,NULL,NULL,"57","1186","4","1","2021-08-06 10:02:08.771382","2021-09-17 06:51:30.231879"
"1187","乗っ取れコンテナ！！〜開発者から見たコンテナセキュリティの考え方〜","コンテナ基盤を利用する開発者として、基盤上にデプロイするコンテナのセキュリティについてどの程度意識していますか？
世の中の一般的なプラクティスをなんとなく知っていても、実際にリスクを実感し、対策できているという例はまだまだ多くないのではないでしょうか。
本セッションではKubernetes上にコンテナとしてデプロイしたWebサイトに対する実際の攻撃デモを通じて、コンテナを扱う開発者目線でどのようなセキュリティリスクを意識すべきか、どのようにそれらに対処していくべきかをコンテナのイメージや起動設定を中心に一緒に考えていければと思います。",NULL,"08:20:00","09:00:00","31","46","2021-08-10 13:23:37","2021-09-29 01:04:35","4","11","25","1",NULL,"1",NULL,NULL,NULL,NULL,"58","1187","4","1","2021-08-10 13:23:37.423041","2021-09-17 06:51:30.259198"
"1189","安心・安全なCluster移行で実現するKubernetesのバージョンアップ","Kubernetesのバージョンアップの方法はいくつかありますが、我々のチームはCluster移行を選択しました。Cluster移行には運用上のメリットがある一方、考慮しなければいけないポイントもあります。本講演では、何故Cluster移行を選択したのか、またCluster移行時に生じる課題をどのような仕組みで解決しようとしているかについてお話したいと思います。",NULL,"06:40:00","07:00:00","32","43","2021-08-16 02:14:31","2021-09-29 00:12:16","4","12","22","1",NULL,"1",NULL,NULL,NULL,NULL,"60","1189","4","1","2021-08-16 02:14:31.880319","2021-09-17 06:51:30.291538"
"1191","The Twelve-Factor App in Modern Age - Cloudネイティブ時代に生きるHerokuの哲学","現在、Herokuの創業者であるAdam Wiggins が提唱した The Twelve-Factor Appは、Webアプリケーションの設計やクラウドインフラの構築、運用する人々に広く知られ実践されています。発表者が在籍していたHerokuはこの原理原則をプラットフォームサービスという形で実装した一つの例です。
本講演では、アプリケーションコンテナの利用が一般的でなかった時代に、サービスを通じて新しいパラダイムを広めたHerokuのアーキテクチャと、あれから10年近くが経過した現在において、クラウド環境・サービスを活用したあるべきTwelve-Factor Appのデザインについて考えます。",NULL,"06:20:00","07:00:00","31","49","2021-08-18 00:14:57","2021-09-29 01:01:21","4","12","23","1",NULL,"1",NULL,NULL,NULL,NULL,"62","1191","4","1","2021-08-18 00:14:57.134936","2021-09-17 06:51:30.323806"
"1192","なぜ我々はクラウドゲーミング基盤をKubernetesに移行したのか","我々Blackは、OOPartsというクラウドゲーミングサービスを提供しています。2021年6月1日に、「Black Game Streaming Engine v2」を公開し、以前のアーキテクチャと比較してより低コスト、より低遅延、より高速なゲーム起動を実現させました。

以前は1ユーザーのプレイに1インスタンスを割り当てるものとなっていましたが、「Black Game Streaming Engine v2」ではKubernetesとAgonesを使用したアーキテクチャとなっており、完全なるコンテナ化を実現させています。

この発表では、以前のアーキテクチャにあった課題と、それをKubernetesとAgonesによってどう解決させたのか、移行にあたっての課題、今後の展望などについて話します。",NULL,"09:20:00","09:40:00","32","49","2021-08-19 13:41:31","2021-09-29 00:04:06","4","12","24","1",NULL,"1",NULL,NULL,NULL,NULL,"63","1192","4","1","2021-08-19 13:41:31.374242","2021-09-17 06:51:30.357243"
"1194","Kubernetesリソースの誤削除からの保護: PV, PVC, Secret, そして…","Kubernetesのリソースを誤って削除したことはあるでしょうか？それは、本番環境で？復旧できましたか？この発表は、このような苦い経験がある方・これからありそうな方に向けたものです。
既存のPersistentVolume・ PersistentVolumeClaimの保護の仕組みから、今、コミュニティで議論中の、一般的なリソースの保護の仕組み、その仕組みのSecretの保護への適用などを紹介いたします。
リソースの依存関係による削除順の話だけでなく、ユーザが重要であると設定したリソースの保護の話も含みます。一部は現在コミュニティで開発中の機能ですが、現状の機能でできること、開発中の機能を使うことによる、メリット・デメリットもお伝えいたします。",NULL,"08:20:00","09:00:00","32","43","2021-08-20 00:29:28","2021-09-29 01:03:18","4","11","22","1",NULL,"1",NULL,NULL,NULL,NULL,"65","1194","4","1","2021-08-20 00:29:29.027394","2021-09-17 06:51:30.391379"
"1196","「Small is beautiful 」 KubernetesにUnixの哲学を ~ Carvelの紹介 ~","Kubernetesのエコシステムが拡大にするに伴い、様々なツールが氾濫しています。高機能すぎるOSSや機能の重複に伴い、検証や比較に時間をとられすぎてしまい悩んでいないでしょうか？そんな中、Small is beautifulというUnixの哲学をもとに作られたOSS群Carvelが登場しました。あくまで一つの事柄に特化しそれを上手にやる、これに長けたOSS群であり、GitOpsや継続的デプロイメントを支援するツールが数多く登場しています。

Carvelが既存のHelmやArgoCDといったツールと何がちがうか？その魅力をこのセッションで紹介します。",NULL,"09:20:00","10:00:00","32","38","2021-08-20 05:21:12","2021-10-18 13:24:53","4","11","20","1",,"1",NULL,NULL,NULL,NULL,"67","1196","4","1","2021-08-20 05:21:12.719025","2021-09-17 06:51:30.423540"
